code,name,note,productClassification,codeUnique,displayOrder,hierarchy
01,Animal products,,MT2,MT2 - 01 -,,01
02,Dairy products,,MT2,MT2 - 02 -,,02
03,"Fruits, vegetables, plants",,MT2,MT2 - 03 -,,03
04,"Coffee, tea",,MT2,MT2 - 04 -,,04
05,Cereals and preparations,,MT2,MT2 - 05 -,,05
06,"Oilseeds, fats and oils",,MT2,MT2 - 06 -,,06
07,Sugars and confectionery,,MT2,MT2 - 07 -,,07
08,Beverages and tobacco,,MT2,MT2 - 08 -,,08
09,Cotton,,MT2,MT2 - 09 -,,09
10,Other agricultural products,,MT2,MT2 - 10 -,,10
11,Fish and fish products,,MT2,MT2 - 11 -,,11
12,Minerals and metals,,MT2,MT2 - 12 -,,12
13,Petroleum,,MT2,MT2 - 13 -,,13
14,Chemicals,,MT2,MT2 - 14 -,,14
15,"Wood, paper, etc",,MT2,MT2 - 15 -,,15
16,Textiles,,MT2,MT2 - 16 -,,16
17,Clothing,,MT2,MT2 - 17 -,,17
18,"Leather, footwear, etc",,MT2,MT2 - 18 -,,18
19,Non-electrical machinery,,MT2,MT2 - 19 -,,19
20,Electrical machinery,,MT2,MT2 - 20 -,,20
21,Transport equipment,,MT2,MT2 - 21 -,,21
22,Manufactures n.e.s.,,MT2,MT2 - 22 -,,22
