code,iso3A,name,latitude,longitude
004,AFG,Afghanistan,33.93911,67.709953
008,ALB,Albania,41.153332,20.168331
012,DZA,Algeria,28.033886,1.659626
016,ASM,American Samoa,-14.270972,-170.132217
020,AND,Andorra,42.546245,1.601554
024,AGO,Angola,-11.202692,17.873887
660,AIA,Anguilla,18.220554,-63.068615
028,ATG,Antigua and Barbuda,17.060816,-61.796428
032,ARG,Argentina,-38.416097,-63.616672
051,ARM,Armenia,40.069099,45.038189
533,ABW,"Aruba, the Netherlands with respect to",12.52111,-69.968338
036,AUS,Australia,-25.274398,133.775136
040,AUT,Austria,47.516231,14.550072
031,AZE,Azerbaijan,40.143105,47.576927
044,BHS,Bahamas,25.03428,-77.39628
048,BHR,"Bahrain, Kingdom of",25.930414,50.637772
050,BGD,Bangladesh,23.684994,90.356331
052,BRB,Barbados,13.193887,-59.543198
112,BLR,Belarus,53.709807,27.953389
056,BEL,Belgium,50.503887,4.469936
058,BLX,Belgium-Luxembourg,50.0547,5.4677
084,BLZ,Belize,17.189877,-88.49765
204,BEN,Benin,9.30769,2.315834
060,BMU,Bermuda,32.321384,-64.75737
064,BTN,Bhutan,27.514162,90.433601
068,BOL,"Bolivia, Plurinational State of",-16.290154,-63.588653
070,BIH,Bosnia and Herzegovina,43.915886,17.679076
072,BWA,Botswana,-22.328474,24.684866
076,BRA,Brazil,-14.235004,-51.92528
096,BRN,Brunei Darussalam,4.535277,114.727669
100,BGR,Bulgaria,42.733883,25.48583
854,BFA,Burkina Faso,12.238333,-1.561593
108,BDI,Burundi,-3.373056,29.918886
132,CPV,Cabo Verde,16.002082,-24.013197
116,KHM,Cambodia,12.565679,104.990963
120,CMR,Cameroon,7.369722,12.354722
124,CAN,Canada,56.130366,-106.346771
136,CYM,Cayman Islands,19.513469,-80.566956
140,CAF,Central African Republic,6.611111,20.939444
148,TCD,Chad,15.454166,18.732207
152,CHL,Chile,-35.675147,-71.542969
156,CHN,China,35.86166,104.195397
170,COL,Colombia,4.570868,-74.297333
174,COM,Comoros,-11.875001,43.872219
178,COG,Congo,-0.228021,15.827659
184,COK,Cook Islands,-21.236736,-159.777671
188,CRI,Costa Rica,9.748917,-83.753428
384,CIV,Côte d'Ivoire,7.539989,-5.54708
191,HRV,Croatia,45.1,15.2
192,CUB,Cuba,21.521757,-77.781167
531,CUW,Curaçao,12.1696,68.99
196,CYP,Cyprus,35.126413,33.429859
203,CZE,Czech Republic,49.817492,15.472962
180,COD,Democratic Republic of the Congo,-4.038333,21.758664
208,DNK,Denmark,56.26392,9.501785
262,DJI,Djibouti,11.825138,42.590275
212,DMA,Dominica,15.414999,-61.370976
214,DOM,Dominican Republic,18.735693,-70.162651
218,ECU,Ecuador,-1.831239,-78.183406
818,EGY,Egypt,26.820553,30.802498
222,SLV,El Salvador,13.794185,-88.89653
226,GNQ,Equatorial Guinea,1.650801,10.267895
232,ERI,Eritrea,15.179384,39.782334
233,EST,Estonia,58.595272,25.013607
748,SWZ,Eswatini,-26.522503,31.465866
231,ETH,Ethiopia,9.145,40.489673
918,EEC,European Union,53.0,9.0
234,FRO,Faeroe Islands,61.892635,-6.911806
242,FJI,Fiji,-16.578193,179.414413
246,FIN,Finland,61.92411,25.748151
250,FRA,France,46.227638,2.213749
258,PYF,French Polynesia,-17.679742,-149.406843
260,ATF,French Southern Territories,-49.280366,69.348557
266,GAB,Gabon,-0.803689,11.609444
270,GMB,The Gambia,13.443182,-15.310139
268,GEO,Georgia,42.315407,43.356892
276,DEU,Germany,51.165691,10.451526
288,GHA,Ghana,7.946527,-1.023194
292,GIB,Gibraltar,36.137741,-5.345374
300,GRC,Greece,39.074208,21.824312
304,GRL,Greenland,71.706936,-42.604303
308,GRD,Grenada,12.262776,-61.604171
316,GUM,Guam,13.444304,144.793731
320,GTM,Guatemala,15.783471,-90.230759
324,GIN,Guinea,9.945587,-9.696645
624,GNB,Guinea-Bissau,11.803749,-15.180413
328,GUY,Guyana,4.860416,-58.93018
332,HTI,Haiti,18.971187,-72.285215
340,HND,Honduras,15.199999,-86.241905
344,HKG,"Hong Kong, China",22.396428,114.109497
348,HUN,Hungary,47.162494,19.503304
352,ISL,Iceland,64.963051,-19.020835
356,IND,India,20.593684,78.96288
360,IDN,Indonesia,-0.789275,113.921327
364,IRN,Iran,32.427908,53.688046
368,IRQ,Iraq,33.223191,43.679291
372,IRL,Ireland,53.41291,-8.24389
376,ISR,Israel,31.046051,34.851612
380,ITA,Italy,41.87194,12.56738
388,JAM,Jamaica,18.109581,-77.297508
392,JPN,Japan,36.204824,138.252924
400,JOR,Jordan,30.585164,36.238414
398,KAZ,Kazakhstan,48.019573,66.923684
404,KEN,Kenya,-0.023559,37.906193
296,KIR,Kiribati,-3.370417,-168.734039
408,PRK,"Korea, Democratic People's Republic of",40.339852,127.510093
410,KOR,"Korea, Republic of",35.907757,127.766922
414,KWT,"Kuwait, the State of",29.31166,47.481766
417,KGZ,Kyrgyz Republic,41.20438,74.766098
418,LAO,Lao People's Democratic Republic,19.85627,102.495496
428,LVA,Latvia,56.879635,24.603189
422,LBN,Lebanese Republic,33.854721,35.862285
426,LSO,Lesotho,-29.609988,28.233608
430,LBR,Liberia,6.428055,-9.429499
434,LBY,Libya,26.3351,17.228331
440,LTU,Lithuania,55.169438,23.881275
442,LUX,Luxembourg,49.815273,6.129583
446,MAC,"Macao, China",22.198745,113.543873
450,MDG,Madagascar,-18.766947,46.869107
454,MWI,Malawi,-13.254308,34.301525
458,MYS,Malaysia,4.210484,101.975766
462,MDV,Maldives,3.202778,73.22068
466,MLI,Mali,17.570692,-3.996166
470,MLT,Malta,35.937496,14.375416
584,MHL,Marshall Islands,7.131474,171.184478
478,MRT,Mauritania,21.00789,-10.940835
