IndicatorCategoryCode,IndicatorCode,ReportingEconomyCode,PartnerEconomyCode,ProductOrSectorClassificationCode,ProductOrSectorCode,PeriodCode,FrequencyCode,UnitCode,Year,ValueFlagCode,Value
TPM_HS,HS_M_0020,764,040,MT2,18,A,A,USD,2016,,2286584.0
TPM_HS,HS_M_0020,764,044,MT2,18,A,A,USD,2016,,104.0
TPM_HS,HS_M_0020,764,048,MT2,18,A,A,USD,2016,,2664.0
TPM_HS,HS_M_0020,764,050,MT2,18,A,A,USD,2016,,709046.0
TPM_HS,HS_M_0020,764,052,MT2,18,A,A,USD,2016,,25.0
TPM_HS,HS_M_0020,764,056,MT2,18,A,A,USD,2016,,21865279.0
TPM_HS,HS_M_0020,764,064,MT2,18,A,A,USD,2016,,60700.0
TPM_HS,HS_M_0020,764,068,MT2,18,A,A,USD,2016,,1021455.0
TPM_HS,HS_M_0020,764,070,MT2,18,A,A,USD,2016,,330765.0
TPM_HS,HS_M_0020,764,072,MT2,18,A,A,USD,2016,,47208.0
TPM_HS,HS_M_0020,764,076,MT2,18,A,A,USD,2016,,116976560.0
TPM_HS,HS_M_0020,764,084,MT2,18,A,A,USD,2016,,3587.0
TPM_HS,HS_M_0020,764,096,MT2,18,A,A,USD,2016,,2710.0
TPM_HS,HS_M_0020,764,100,MT2,18,A,A,USD,2016,,561966.0
TPM_HS,HS_M_0020,764,104,MT2,18,A,A,USD,2016,,1420659.0
TPM_HS,HS_M_0020,764,112,MT2,18,A,A,USD,2016,,249079.0
TPM_HS,HS_M_0020,764,116,MT2,18,A,A,USD,2016,,9940463.0
TPM_HS,HS_M_0020,764,120,MT2,18,A,A,USD,2016,,1120.0
TPM_HS,HS_M_0020,764,124,MT2,18,A,A,USD,2016,,5969545.0
TPM_HS,HS_M_0020,764,144,MT2,18,A,A,USD,2016,,1525686.0
TPM_HS,HS_M_0020,764,148,MT2,18,A,A,USD,2016,,33375.0
TPM_HS,HS_M_0020,764,152,MT2,18,A,A,USD,2016,,402.0
TPM_HS,HS_M_0020,384,524,MT2,21,A,A,USD,2016,,2698.0
TPM_HS,HS_M_0020,384,528,MT2,21,A,A,USD,2016,,11362462.0
TPM_HS,HS_M_0020,384,548,MT2,21,A,A,USD,2016,,21069.0
TPM_HS,HS_M_0020,384,554,MT2,21,A,A,USD,2016,,4050.0
TPM_HS,HS_M_0020,384,562,MT2,21,A,A,USD,2016,,985.0
TPM_HS,HS_M_0020,384,566,MT2,21,A,A,USD,2016,,824656.0
TPM_HS,HS_M_0020,384,578,MT2,21,A,A,USD,2016,,10294.0
TPM_HS,HS_M_0020,384,586,MT2,21,A,A,USD,2016,,21932.0
TPM_HS,HS_M_0020,384,591,MT2,21,A,A,USD,2016,,3933.0
TPM_HS,HS_M_0020,384,608,MT2,21,A,A,USD,2016,,1625.0
TPM_HS,HS_M_0020,384,616,MT2,21,A,A,USD,2016,,1538790.0
TPM_HS,HS_M_0020,384,620,MT2,21,A,A,USD,2016,,523413.0
TPM_HS,HS_M_0020,384,634,MT2,21,A,A,USD,2016,,6182.0
TPM_HS,HS_M_0020,384,642,MT2,21,A,A,USD,2016,,6852836.0
TPM_HS,HS_M_0020,384,643,MT2,21,A,A,USD,2016,,230808.0
TPM_HS,HS_M_0020,384,682,MT2,21,A,A,USD,2016,,11430.0
TPM_HS,HS_M_0020,384,686,MT2,21,A,A,USD,2016,,257329.0
TPM_HS,HS_M_0020,384,694,MT2,21,A,A,USD,2016,,6411.0
TPM_HS,HS_M_0020,384,702,MT2,21,A,A,USD,2016,,16450.0
TPM_HS,HS_M_0020,384,703,MT2,21,A,A,USD,2016,,3842079.0
TPM_HS,HS_M_0020,384,704,MT2,21,A,A,USD,2016,,42193.0
TPM_HS,HS_M_0020,384,705,MT2,21,A,A,USD,2016,,5767.0
TPM_HS,HS_M_0020,384,710,MT2,21,A,A,USD,2016,,38047782.0
TPM_HS,HS_M_0020,384,724,MT2,21,A,A,USD,2016,,8192660.0
TPM_HS,HS_M_0020,384,748,MT2,21,A,A,USD,2016,,285.0
TPM_HS,HS_M_0020,384,752,MT2,21,A,A,USD,2016,,2446277.0
TPM_HS,HS_M_0020,384,756,MT2,21,A,A,USD,2016,,510297.0
TPM_HS,HS_M_0020,384,764,MT2,21,A,A,USD,2016,,20901795.0
TPM_HS,HS_M_0020,384,768,MT2,21,A,A,USD,2016,,284484.0
TPM_HS,HS_M_0020,384,784,MT2,21,A,A,USD,2016,,3359918.0
TPM_HS,HS_M_0020,384,788,MT2,21,A,A,USD,2016,,350673.0
TPM_HS,HS_M_0020,384,792,MT2,21,A,A,USD,2016,,4073381.0
TPM_HS,HS_M_0020,384,807,MT2,21,A,A,USD,2016,,22187.0
TPM_HS,HS_M_0020,384,818,MT2,21,A,A,USD,2016,,2919092.0
TPM_HS,HS_M_0020,384,826,MT2,21,A,A,USD,2016,,19182943.0
TPM_HS,HS_M_0020,384,834,MT2,21,A,A,USD,2016,,742.0
TPM_HS,HS_M_0020,384,840,MT2,21,A,A,USD,2016,,27356005.0
TPM_HS,HS_M_0020,384,854,MT2,21,A,A,USD,2016,,1311037.0
TPM_HS,HS_M_0020,384,860,MT2,21,A,A,USD,2016,,102944.0
TPM_HS,HS_M_0020,384,892,MT2,21,A,A,USD,2016,,2291.0
TPM_HS,HS_M_0020,384,894,MT2,21,A,A,USD,2016,,363.0
TPM_HS,HS_M_0020,446,036,MT2,21,A,A,USD,2016,,403249.0
TPM_HS,HS_M_0020,446,040,MT2,21,A,A,USD,2016,,264492.0
TPM_HS,HS_M_0020,446,056,MT2,21,A,A,USD,2016,,46893.0
TPM_HS,HS_M_0020,446,076,MT2,21,A,A,USD,2016,,17191.0
TPM_HS,HS_M_0020,446,124,MT2,21,A,A,USD,2016,,32973.0
TPM_HS,HS_M_0020,446,156,MT2,21,A,A,USD,2016,,51085384.0
TPM_HS,HS_M_0020,446,158,MT2,21,A,A,USD,2016,,14713995.0
TPM_HS,HS_M_0020,446,208,MT2,21,A,A,USD,2016,,980.0
TPM_HS,HS_M_0020,446,246,MT2,21,A,A,USD,2016,,834290.0
TPM_HS,HS_M_0020,446,250,MT2,21,A,A,USD,2016,,2123565.0
TPM_HS,HS_M_0020,446,276,MT2,21,A,A,USD,2016,,40900890.0
TPM_HS,HS_M_0020,446,344,MT2,21,A,A,USD,2016,,1145385.0
TPM_HS,HS_M_0020,446,348,MT2,21,A,A,USD,2016,,691163.0
TPM_HS,HS_M_0020,446,356,MT2,21,A,A,USD,2016,,50703.0
TPM_HS,HS_M_0020,446,360,MT2,21,A,A,USD,2016,,238599.0
TPM_HS,HS_M_0020,446,380,MT2,21,A,A,USD,2016,,11472219.0
TPM_HS,HS_M_0020,446,392,MT2,21,A,A,USD,2016,,103028828.0
TPM_HS,HS_M_0020,446,410,MT2,21,A,A,USD,2016,,2605109.0
TPM_HS,HS_M_0020,446,458,MT2,21,A,A,USD,2016,,442719.0
TPM_HS,HS_M_0020,446,528,MT2,21,A,A,USD,2016,,246146.0
TPM_HS,HS_M_0020,446,616,MT2,21,A,A,USD,2016,,20421.0
TPM_HS,HS_M_0020,446,620,MT2,21,A,A,USD,2016,,85968.0
TPM_HS,HS_M_0020,446,702,MT2,21,A,A,USD,2016,,57835.0
TPM_HS,HS_M_0020,446,703,MT2,21,A,A,USD,2016,,54382.0
TPM_HS,HS_M_0020,446,704,MT2,21,A,A,USD,2016,,352938.0
TPM_HS,HS_M_0020,764,156,MT2,18,A,A,USD,2016,,549419428.0
TPM_HS,HS_M_0020,764,158,MT2,18,A,A,USD,2016,,137504260.0
TPM_HS,HS_M_0020,764,170,MT2,18,A,A,USD,2016,,4092705.0
TPM_HS,HS_M_0020,764,180,MT2,18,A,A,USD,2016,,8025.0
